series_id,year,period,value,month,region,lagvalue
CUUR0100SA0,2003,M01,190.5,1,Northeast,
CUUR0100SA0,2003,M02,191.7,2,Northeast,190.5
CUUR0100SA0,2003,M03,193.0,3,Northeast,191.7
CUUR0100SA0,2003,M04,192.6,4,Northeast,193.0
CUUR0100SA0,2003,M05,192.7,5,Northeast,192.6
CUUR0100SA0,2003,M06,192.8,6,Northeast,192.7
CUUR0100SA0,2003,M07,193.5,7,Northeast,192.8
CUUR0100SA0,2003,M08,194.3,8,Northeast,193.5
CUUR0100SA0,2003,M09,195.0,9,Northeast,194.3
CUUR0100SA0,2003,M10,195.4,10,Northeast,195.0
CUUR0100SA0,2003,M11,195.1,11,Northeast,195.4
CUUR0100SA0,2003,M12,194.9,12,Northeast,195.1
CUUR0100SA0,2004,M01,195.9,1,Northeast,194.9
CUUR0100SA0,2004,M02,196.8,2,Northeast,195.9
CUUR0100SA0,2004,M03,198.6,3,Northeast,196.8
CUUR0100SA0,2004,M04,199.4,4,Northeast,198.6
CUUR0100SA0,2004,M05,199.9,5,Northeast,199.4
CUUR0100SA0,2004,M06,201.1,6,Northeast,199.9
CUUR0100SA0,2004,M07,201.0,7,Northeast,201.1
CUUR0100SA0,2004,M08,201.0,8,Northeast,201.0
CUUR0100SA0,2004,M09,201.2,9,Northeast,201.0
CUUR0100SA0,2004,M10,202.5,10,Northeast,201.2
CUUR0100SA0,2004,M11,202.6,11,Northeast,202.5
CUUR0100SA0,2004,M12,201.9,12,Northeast,202.6
CUUR0100SA0,2005,M01,202.6,1,Northeast,201.9
CUUR0100SA0,2005,M02,203.6,2,Northeast,202.6
CUUR0100SA0,2005,M03,206.0,3,Northeast,203.6
CUUR0100SA0,2005,M04,206.9,4,Northeast,206.0
CUUR0100SA0,2005,M05,206.2,5,Northeast,206.9
CUUR0100SA0,2005,M06,206.2,6,Northeast,206.2
CUUR0100SA0,2005,M07,207.9,7,Northeast,206.2
CUUR0100SA0,2005,M08,208.7,8,Northeast,207.9
CUUR0100SA0,2005,M09,210.8,9,Northeast,208.7
CUUR0100SA0,2005,M10,211.5,10,Northeast,210.8
CUUR0100SA0,2005,M11,210.0,11,Northeast,211.5
CUUR0100SA0,2005,M12,209.0,12,Northeast,210.0
CUUR0100SA0,2006,M01,211.0,1,Northeast,209.0
CUUR0100SA0,2006,M02,211.6,2,Northeast,211.0
CUUR0100SA0,2006,M03,212.8,3,Northeast,211.6
CUUR0100SA0,2006,M04,214.7,4,Northeast,212.8
CUUR0100SA0,2006,M05,215.7,5,Northeast,214.7
CUUR0100SA0,2006,M06,216.7,6,Northeast,215.7
CUUR0100SA0,2006,M07,217.5,7,Northeast,216.7
CUUR0100SA0,2006,M08,218.1,8,Northeast,217.5
CUUR0100SA0,2006,M09,216.3,9,Northeast,218.1
CUUR0100SA0,2006,M10,215.2,10,Northeast,216.3
CUUR0100SA0,2006,M11,214.8,11,Northeast,215.2
CUUR0100SA0,2006,M12,215.2,12,Northeast,214.8
CUUR0100SA0,2007,M01,215.813,1,Northeast,215.2
CUUR0100SA0,2007,M02,216.651,2,Northeast,215.813
CUUR0100SA0,2007,M03,218.334,3,Northeast,216.651
CUUR0100SA0,2007,M04,219.501,4,Northeast,218.334
CUUR0100SA0,2007,M05,220.591,5,Northeast,219.501
CUUR0100SA0,2007,M06,221.579,6,Northeast,220.591
CUUR0100SA0,2007,M07,221.945,7,Northeast,221.579
CUUR0100SA0,2007,M08,221.559,8,Northeast,221.945
