Series Id,Year,Period,Value
CUUR0200SA0,2003,M01,176.2
CUUR0200SA0,2003,M02,177.8
CUUR0200SA0,2003,M03,178.6
CUUR0200SA0,2003,M04,177.8
CUUR0200SA0,2003,M05,177.7
CUUR0200SA0,2003,M06,178.4
CUUR0200SA0,2003,M07,178.1
CUUR0200SA0,2003,M08,178.8
CUUR0200SA0,2003,M09,179.5
CUUR0200SA0,2003,M10,179.1
CUUR0200SA0,2003,M11,178.9
CUUR0200SA0,2003,M12,178.4
CUUR0200SA0,2003,M13,178.3
CUUS0200SA0,2003,S01,177.8
CUUS0200SA0,2003,S02,178.8
CUUR0200SA0,2004,M01,179.4
CUUR0200SA0,2004,M02,180.2
CUUR0200SA0,2004,M03,181.0
CUUR0200SA0,2004,M04,181.5
CUUR0200SA0,2004,M05,182.9
CUUR0200SA0,2004,M06,183.3
CUUR0200SA0,2004,M07,183.2
CUUR0200SA0,2004,M08,183.3
CUUR0200SA0,2004,M09,183.6
CUUR0200SA0,2004,M10,184.5
CUUR0200SA0,2004,M11,184.8
CUUR0200SA0,2004,M12,183.8
CUUR0200SA0,2004,M13,182.6
CUUS0200SA0,2004,S01,181.4
CUUS0200SA0,2004,S02,183.9
CUUR0200SA0,2005,M01,184.1
CUUR0200SA0,2005,M02,185.2
CUUR0200SA0,2005,M03,186.3
CUUR0200SA0,2005,M04,187.7
CUUR0200SA0,2005,M05,187.4
CUUR0200SA0,2005,M06,187.8
CUUR0200SA0,2005,M07,188.4
CUUR0200SA0,2005,M08,189.7
CUUR0200SA0,2005,M09,192.5
CUUR0200SA0,2005,M10,192.1
CUUR0200SA0,2005,M11,190.3
CUUR0200SA0,2005,M12,189.7
CUUR0200SA0,2005,M13,188.4
CUUS0200SA0,2005,S01,186.4
CUUS0200SA0,2005,S02,190.5
CUUR0200SA0,2006,M01,190.8
CUUR0200SA0,2006,M02,190.7
CUUR0200SA0,2006,M03,192.0
CUUR0200SA0,2006,M04,193.0
CUUR0200SA0,2006,M05,193.6
CUUR0200SA0,2006,M06,194.1
CUUR0200SA0,2006,M07,194.6
CUUR0200SA0,2006,M08,195.1
CUUR0200SA0,2006,M09,193.7
CUUR0200SA0,2006,M10,192.3
CUUR0200SA0,2006,M11,192.8
CUUR0200SA0,2006,M12,192.9
CUUR0200SA0,2006,M13,193.0
CUUS0200SA0,2006,S01,192.4
CUUS0200SA0,2006,S02,193.6
CUUR0200SA0,2007,M01,193.068
CUUR0200SA0,2007,M02,194.458
CUUR0200SA0,2007,M03,196.389
CUUR0200SA0,2007,M04,197.405
CUUR0200SA0,2007,M05,199.194
CUUR0200SA0,2007,M06,199.263
CUUR0200SA0,2007,M07,198.989
CUUR0200SA0,2007,M08,198.551
CUUR0200SA0,2007,M09,199.714
CUUR0200SA0,2007,M10,199.455
CUUR0200SA0,2007,M11,200.762
CUUR0200SA0,2007,M12,200.227
CUUR0200SA0,2007,M13,198.123
CUUS0200SA0,2007,S01,196.629
CUUS0200SA0,2007,S02,199.616
CUUR0200SA0,2008,M01,201.427
CUUR0200SA0,2008,M02,201.896
CUUR0200SA0,2008,M03,203.723
CUUR0200SA0,2008,M04,205.393
CUUR0200SA0,2008,M05,207.168
CUUR0200SA0,2008,M06,208.968
CUUR0200SA0,2008,M07,210.071
CUUR0200SA0,2008,M08,209.351
CUUR0200SA0,2008,M09,209.252
CUUR0200SA0,2008,M10,206.019
CUUR0200SA0,2008,M11,201.737
CUUR0200SA0,2008,M12,199.582
CUUR0200SA0,2008,M13,205.382
CUUS0200SA0,2008,S01,204.763
CUUS0200SA0,2008,S02,206.002
CUUR0200SA0,2009,M01,200.815
CUUR0200SA0,2009,M02,201.453
CUUR0200SA0,2009,M03,202.021
CUUR0200SA0,2009,M04,202.327
CUUR0200SA0,2009,M05,203.195
CUUR0200SA0,2009,M06,205.350
CUUR0200SA0,2009,M07,204.814
CUUR0200SA0,2009,M08,205.632
CUUR0200SA0,2009,M09,205.601
CUUR0200SA0,2009,M10,205.706
CUUR0200SA0,2009,M11,206.247
CUUR0200SA0,2009,M12,205.613
CUUR0200SA0,2009,M13,204.064
CUUS0200SA0,2009,S01,202.527
CUUS0200SA0,2009,S02,205.602
CUUR0200SA0,2010,M01,206.564
CUUR0200SA0,2010,M02,206.563
CUUR0200SA0,2010,M03,207.359
CUUR0200SA0,2010,M04,207.777
CUUR0200SA0,2010,M05,207.987
CUUR0200SA0,2010,M06,207.886
CUUR0200SA0,2010,M07,208.211
CUUR0200SA0,2010,M08,208.639
CUUR0200SA0,2010,M09,208.788
CUUR0200SA0,2010,M10,208.689
CUUR0200SA0,2010,M11,208.816
CUUR0200SA0,2010,M12,209.270
CUUR0200SA0,2010,M13,208.046
CUUS0200SA0,2010,S01,207.356
CUUS0200SA0,2010,S02,208.736
CUUR0200SA0,2011,M01,210.388
CUUR0200SA0,2011,M02,211.090
CUUR0200SA0,2011,M03,212.954
CUUR0200SA0,2011,M04,214.535
CUUR0200SA0,2011,M05,215.899
CUUR0200SA0,2011,M06,215.954
CUUR0200SA0,2011,M07,216.099
CUUR0200SA0,2011,M08,216.586
CUUR0200SA0,2011,M09,216.968
CUUR0200SA0,2011,M10,215.653
CUUR0200SA0,2011,M11,215.614
CUUR0200SA0,2011,M12,215.173
CUUR0200SA0,2011,M13,214.743
CUUS0200SA0,2011,S01,213.470
CUUS0200SA0,2011,S02,216.016
CUUR0200SA0,2012,M01,216.368
CUUR0200SA0,2012,M02,216.855
CUUR0200SA0,2012,M03,218.975
CUUR0200SA0,2012,M04,219.405
CUUR0200SA0,2012,M05,219.145
CUUR0200SA0,2012,M06,219.017
CUUR0200SA0,2012,M07,218.956
CUUR0200SA0,2012,M08,220.462
CUUR0200SA0,2012,M09,221.125
CUUR0200SA0,2012,M10,220.375
CUUR0200SA0,2012,M11,219.483
CUUR0200SA0,2012,M12,219.033
CUUR0200SA0,2012,M13,219.100
CUUS0200SA0,2012,S01,218.294
CUUS0200SA0,2012,S02,219.906
CUUR0200SA0,2013,M01,219.282
CUUR0200SA0,2013,M02,221.599
CUUR0200SA0,2013,M03,222.121
CUUR0200SA0,2013,M04,221.931
CUUR0200SA0,2013,M05,223.049
CUUR0200SA0,2013,M06,223.775
CUUR0200SA0,2013,M07,222.902
CUUR0200SA0,2013,M08,223.046
CUUR0200SA0,2013,M09,223.252
CUUR0200SA0,2013,M10,222.171
CUUR0200SA0,2013,M11,221.718
CUUR0200SA0,2013,M12,221.194
CUUR0200SA0,2013,M13,222.170
CUUS0200SA0,2013,S01,221.960
CUUS0200SA0,2013,S02,222.381
CUUR0200SA0,2014,M01,222.247
CUUR0200SA0,2014,M02,223.493
CUUR0200SA0,2014,M03,225.485
CUUR0200SA0,2014,M04,226.214
CUUR0200SA0,2014,M05,226.565
CUUR0200SA0,2014,M06,227.588
CUUR0200SA0,2014,M07,226.997
CUUR0200SA0,2014,M08,226.587
CUUR0200SA0,2014,M09,226.913
CUUR0200SA0,2014,M10,225.793
CUUR0200SA0,2014,M11,224.396
CUUR0200SA0,2014,M12,222.821
CUUR0200SA0,2014,M13,225.425
CUUS0200SA0,2014,S01,225.265
CUUS0200SA0,2014,S02,225.585
CUUR0200SA0,2015,M01,221.545
CUUR0200SA0,2015,M02,222.301
CUUR0200SA0,2015,M03,223.550
CUUR0200SA0,2015,M04,223.797
CUUR0200SA0,2015,M05,224.732
CUUR0200SA0,2015,M06,225.946
CUUR0200SA0,2015,M07,225.853
CUUR0200SA0,2015,M08,225.830
CUUR0200SA0,2015,M09,225.184
CUUR0200SA0,2015,M10,225.050
CUUR0200SA0,2015,M11,224.009
CUUR0200SA0,2015,M12,222.722
CUUR0200SA0,2015,M13,224.210
CUUS0200SA0,2015,S01,223.645
CUUS0200SA0,2015,S02,224.775
CUUR0200SA0,2016,M01,223.301
CUUR0200SA0,2016,M02,223.196
CUUR0200SA0,2016,M03,224.621
CUUR0200SA0,2016,M04,225.609
CUUR0200SA0,2016,M05,226.476
CUUR0200SA0,2016,M06,227.835
CUUR0200SA0,2016,M07,226.786
CUUR0200SA0,2016,M08,227.097
CUUR0200SA0,2016,M09,227.636
CUUR0200SA0,2016,M10,227.358
CUUR0200SA0,2016,M11,226.673
CUUR0200SA0,2016,M12,226.794
CUUR0200SA0,2016,M13,226.115
CUUS0200SA0,2016,S01,225.173
CUUS0200SA0,2016,S02,227.057
