Series Id,Year,Period,Value
CUUR0100SA0,2003,M01,190.5
CUUR0100SA0,2003,M02,191.7
CUUR0100SA0,2003,M03,193.0
CUUR0100SA0,2003,M04,192.6
CUUR0100SA0,2003,M05,192.7
CUUR0100SA0,2003,M06,192.8
CUUR0100SA0,2003,M07,193.5
CUUR0100SA0,2003,M08,194.3
CUUR0100SA0,2003,M09,195.0
CUUR0100SA0,2003,M10,195.4
CUUR0100SA0,2003,M11,195.1
CUUR0100SA0,2003,M12,194.9
CUUR0100SA0,2003,M13,193.5
CUUS0100SA0,2003,S01,192.2
CUUS0100SA0,2003,S02,194.7
CUUR0100SA0,2004,M01,195.9
CUUR0100SA0,2004,M02,196.8
CUUR0100SA0,2004,M03,198.6
CUUR0100SA0,2004,M04,199.4
CUUR0100SA0,2004,M05,199.9
CUUR0100SA0,2004,M06,201.1
CUUR0100SA0,2004,M07,201.0
CUUR0100SA0,2004,M08,201.0
CUUR0100SA0,2004,M09,201.2
CUUR0100SA0,2004,M10,202.5
CUUR0100SA0,2004,M11,202.6
CUUR0100SA0,2004,M12,201.9
CUUR0100SA0,2004,M13,200.2
CUUS0100SA0,2004,S01,198.6
CUUS0100SA0,2004,S02,201.7
CUUR0100SA0,2005,M01,202.6
CUUR0100SA0,2005,M02,203.6
CUUR0100SA0,2005,M03,206.0
CUUR0100SA0,2005,M04,206.9
CUUR0100SA0,2005,M05,206.2
CUUR0100SA0,2005,M06,206.2
CUUR0100SA0,2005,M07,207.9
CUUR0100SA0,2005,M08,208.7
CUUR0100SA0,2005,M09,210.8
CUUR0100SA0,2005,M10,211.5
CUUR0100SA0,2005,M11,210.0
CUUR0100SA0,2005,M12,209.0
CUUR0100SA0,2005,M13,207.5
CUUS0100SA0,2005,S01,205.3
CUUS0100SA0,2005,S02,209.7
CUUR0100SA0,2006,M01,211.0
CUUR0100SA0,2006,M02,211.6
CUUR0100SA0,2006,M03,212.8
CUUR0100SA0,2006,M04,214.7
CUUR0100SA0,2006,M05,215.7
CUUR0100SA0,2006,M06,216.7
CUUR0100SA0,2006,M07,217.5
CUUR0100SA0,2006,M08,218.1
CUUR0100SA0,2006,M09,216.3
CUUR0100SA0,2006,M10,215.2
CUUR0100SA0,2006,M11,214.8
CUUR0100SA0,2006,M12,215.2
CUUR0100SA0,2006,M13,215.0
CUUS0100SA0,2006,S01,213.8
CUUS0100SA0,2006,S02,216.2
CUUR0100SA0,2007,M01,215.813
CUUR0100SA0,2007,M02,216.651
CUUR0100SA0,2007,M03,218.334
CUUR0100SA0,2007,M04,219.501
CUUR0100SA0,2007,M05,220.591
CUUR0100SA0,2007,M06,221.579
CUUR0100SA0,2007,M07,221.945
CUUR0100SA0,2007,M08,221.559
CUUR0100SA0,2007,M09,221.436
CUUR0100SA0,2007,M10,221.951
CUUR0100SA0,2007,M11,223.356
CUUR0100SA0,2007,M12,223.425
CUUR0100SA0,2007,M13,220.512
CUUS0100SA0,2007,S01,218.745
CUUS0100SA0,2007,S02,222.279
CUUR0100SA0,2008,M01,224.325
CUUR0100SA0,2008,M02,225.213
CUUR0100SA0,2008,M03,226.926
CUUR0100SA0,2008,M04,228.133
CUUR0100SA0,2008,M05,230.089
CUUR0100SA0,2008,M06,232.649
CUUR0100SA0,2008,M07,234.545
CUUR0100SA0,2008,M08,233.788
CUUR0100SA0,2008,M09,232.841
CUUR0100SA0,2008,M10,230.837
CUUR0100SA0,2008,M11,227.236
CUUR0100SA0,2008,M12,225.091
CUUR0100SA0,2008,M13,229.306
CUUS0100SA0,2008,S01,227.889
CUUS0100SA0,2008,S02,230.723
CUUR0100SA0,2009,M01,225.436
CUUR0100SA0,2009,M02,226.754
CUUR0100SA0,2009,M03,227.309
CUUR0100SA0,2009,M04,227.840
CUUR0100SA0,2009,M05,228.136
CUUR0100SA0,2009,M06,229.930
CUUR0100SA0,2009,M07,230.154
CUUR0100SA0,2009,M08,230.883
CUUR0100SA0,2009,M09,231.200
CUUR0100SA0,2009,M10,231.304
CUUR0100SA0,2009,M11,231.708
CUUR0100SA0,2009,M12,231.462
CUUR0100SA0,2009,M13,229.343
CUUS0100SA0,2009,S01,227.568
CUUS0100SA0,2009,S02,231.119
CUUR0100SA0,2010,M01,232.294
CUUR0100SA0,2010,M02,232.382
CUUR0100SA0,2010,M03,233.188
CUUR0100SA0,2010,M04,233.615
CUUR0100SA0,2010,M05,234.130
CUUR0100SA0,2010,M06,233.834
CUUR0100SA0,2010,M07,233.885
CUUR0100SA0,2010,M08,234.150
CUUR0100SA0,2010,M09,234.027
CUUR0100SA0,2010,M10,234.671
CUUR0100SA0,2010,M11,235.094
CUUR0100SA0,2010,M12,235.141
CUUR0100SA0,2010,M13,233.868
CUUS0100SA0,2010,S01,233.241
CUUS0100SA0,2010,S02,234.495
CUUR0100SA0,2011,M01,235.969
CUUR0100SA0,2011,M02,237.110
CUUR0100SA0,2011,M03,239.074
CUUR0100SA0,2011,M04,240.267
CUUR0100SA0,2011,M05,241.566
CUUR0100SA0,2011,M06,241.690
CUUR0100SA0,2011,M07,242.282
CUUR0100SA0,2011,M08,243.033
CUUR0100SA0,2011,M09,243.323
CUUR0100SA0,2011,M10,243.014
CUUR0100SA0,2011,M11,242.652
CUUR0100SA0,2011,M12,241.987
CUUR0100SA0,2011,M13,240.997
CUUS0100SA0,2011,S01,239.279
CUUS0100SA0,2011,S02,242.715
CUUR0100SA0,2012,M01,242.879
CUUR0100SA0,2012,M02,243.850
CUUR0100SA0,2012,M03,245.125
CUUR0100SA0,2012,M04,245.850
CUUR0100SA0,2012,M05,245.709
CUUR0100SA0,2012,M06,245.201
CUUR0100SA0,2012,M07,244.984
CUUR0100SA0,2012,M08,246.252
CUUR0100SA0,2012,M09,247.409
CUUR0100SA0,2012,M10,247.564
CUUR0100SA0,2012,M11,247.097
CUUR0100SA0,2012,M12,246.456
CUUR0100SA0,2012,M13,245.698
CUUS0100SA0,2012,S01,244.769
CUUS0100SA0,2012,S02,246.627
CUUR0100SA0,2013,M01,247.277
CUUR0100SA0,2013,M02,248.665
CUUR0100SA0,2013,M03,248.719
CUUR0100SA0,2013,M04,248.464
CUUR0100SA0,2013,M05,248.584
CUUR0100SA0,2013,M06,248.851
CUUR0100SA0,2013,M07,249.411
CUUR0100SA0,2013,M08,249.858
CUUR0100SA0,2013,M09,250.231
CUUR0100SA0,2013,M10,249.320
CUUR0100SA0,2013,M11,249.503
CUUR0100SA0,2013,M12,249.567
CUUR0100SA0,2013,M13,249.038
CUUS0100SA0,2013,S01,248.427
CUUS0100SA0,2013,S02,249.648
CUUR0100SA0,2014,M01,251.045
CUUR0100SA0,2014,M02,251.233
CUUR0100SA0,2014,M03,252.413
CUUR0100SA0,2014,M04,252.506
CUUR0100SA0,2014,M05,253.598
CUUR0100SA0,2014,M06,253.555
CUUR0100SA0,2014,M07,253.833
CUUR0100SA0,2014,M08,253.185
CUUR0100SA0,2014,M09,253.154
CUUR0100SA0,2014,M10,252.730
CUUR0100SA0,2014,M11,251.781
CUUR0100SA0,2014,M12,250.519
CUUR0100SA0,2014,M13,252.463
CUUS0100SA0,2014,S01,252.392
CUUS0100SA0,2014,S02,252.534
CUUR0100SA0,2015,M01,250.016
CUUR0100SA0,2015,M02,250.619
CUUR0100SA0,2015,M03,251.451
CUUR0100SA0,2015,M04,251.760
CUUR0100SA0,2015,M05,252.770
CUUR0100SA0,2015,M06,253.626
CUUR0100SA0,2015,M07,253.405
CUUR0100SA0,2015,M08,252.903
CUUR0100SA0,2015,M09,252.922
CUUR0100SA0,2015,M10,252.504
CUUR0100SA0,2015,M11,252.573
CUUR0100SA0,2015,M12,251.670
CUUR0100SA0,2015,M13,252.185
CUUS0100SA0,2015,S01,251.707
CUUS0100SA0,2015,S02,252.663
CUUR0100SA0,2016,M01,251.739
CUUR0100SA0,2016,M02,252.250
CUUR0100SA0,2016,M03,252.854
CUUR0100SA0,2016,M04,254.270
CUUR0100SA0,2016,M05,255.023
CUUR0100SA0,2016,M06,255.471
CUUR0100SA0,2016,M07,255.386
CUUR0100SA0,2016,M08,255.545
CUUR0100SA0,2016,M09,256.085
CUUR0100SA0,2016,M10,256.605
CUUR0100SA0,2016,M11,256.541
CUUR0100SA0,2016,M12,256.427
CUUR0100SA0,2016,M13,254.850
CUUS0100SA0,2016,S01,253.601
CUUS0100SA0,2016,S02,256.098
