Series Id,Year,Period,Value
CUUR0300SA0,2003,M01,175.1
CUUR0300SA0,2003,M02,176.4
CUUR0300SA0,2003,M03,177.5
CUUR0300SA0,2003,M04,177.4
CUUR0300SA0,2003,M05,176.8
CUUR0300SA0,2003,M06,177.2
CUUR0300SA0,2003,M07,177.3
CUUR0300SA0,2003,M08,177.9
CUUR0300SA0,2003,M09,178.3
CUUR0300SA0,2003,M10,178.1
CUUR0300SA0,2003,M11,177.5
CUUR0300SA0,2003,M12,177.5
CUUR0300SA0,2003,M13,177.3
CUUS0300SA0,2003,S01,176.7
CUUS0300SA0,2003,S02,177.8
CUUR0300SA0,2004,M01,178.2
CUUR0300SA0,2004,M02,179.1
CUUR0300SA0,2004,M03,180.1
CUUR0300SA0,2004,M04,180.9
CUUR0300SA0,2004,M05,182.0
CUUR0300SA0,2004,M06,182.9
CUUR0300SA0,2004,M07,182.6
CUUR0300SA0,2004,M08,182.6
CUUR0300SA0,2004,M09,182.8
CUUR0300SA0,2004,M10,183.7
CUUR0300SA0,2004,M11,183.7
CUUR0300SA0,2004,M12,183.3
CUUR0300SA0,2004,M13,181.8
CUUS0300SA0,2004,S01,180.5
CUUS0300SA0,2004,S02,183.1
CUUR0300SA0,2005,M01,183.6
CUUR0300SA0,2005,M02,184.7
CUUR0300SA0,2005,M03,185.9
CUUR0300SA0,2005,M04,187.3
CUUR0300SA0,2005,M05,187.3
CUUR0300SA0,2005,M06,187.8
CUUR0300SA0,2005,M07,188.5
CUUR0300SA0,2005,M08,189.4
CUUR0300SA0,2005,M09,192.0
CUUR0300SA0,2005,M10,192.5
CUUR0300SA0,2005,M11,190.7
CUUR0300SA0,2005,M12,190.1
CUUR0300SA0,2005,M13,188.3
CUUS0300SA0,2005,S01,186.1
CUUS0300SA0,2005,S02,190.5
CUUR0300SA0,2006,M01,191.5
CUUR0300SA0,2006,M02,191.8
CUUR0300SA0,2006,M03,192.8
CUUR0300SA0,2006,M04,194.7
CUUR0300SA0,2006,M05,195.5
CUUR0300SA0,2006,M06,196.3
CUUR0300SA0,2006,M07,197.0
CUUR0300SA0,2006,M08,197.1
CUUR0300SA0,2006,M09,195.8
CUUR0300SA0,2006,M10,194.7
CUUR0300SA0,2006,M11,194.3
CUUR0300SA0,2006,M12,194.8
CUUR0300SA0,2006,M13,194.7
CUUS0300SA0,2006,S01,193.8
CUUS0300SA0,2006,S02,195.6
CUUR0300SA0,2007,M01,195.021
CUUR0300SA0,2007,M02,195.950
CUUR0300SA0,2007,M03,197.904
CUUR0300SA0,2007,M04,199.618
CUUR0300SA0,2007,M05,200.804
CUUR0300SA0,2007,M06,201.675
CUUR0300SA0,2007,M07,201.571
CUUR0300SA0,2007,M08,201.041
CUUR0300SA0,2007,M09,201.697
CUUR0300SA0,2007,M10,202.155
CUUR0300SA0,2007,M11,203.437
CUUR0300SA0,2007,M12,203.457
CUUR0300SA0,2007,M13,200.361
CUUS0300SA0,2007,S01,198.495
CUUS0300SA0,2007,S02,202.226
CUUR0300SA0,2008,M01,204.510
CUUR0300SA0,2008,M02,205.060
CUUR0300SA0,2008,M03,206.676
CUUR0300SA0,2008,M04,208.085
CUUR0300SA0,2008,M05,210.006
CUUR0300SA0,2008,M06,212.324
CUUR0300SA0,2008,M07,213.304
CUUR0300SA0,2008,M08,212.387
CUUR0300SA0,2008,M09,212.650
CUUR0300SA0,2008,M10,210.108
CUUR0300SA0,2008,M11,205.559
CUUR0300SA0,2008,M12,203.501
CUUR0300SA0,2008,M13,208.681
CUUS0300SA0,2008,S01,207.777
CUUS0300SA0,2008,S02,209.585
CUUR0300SA0,2009,M01,204.288
CUUR0300SA0,2009,M02,205.343
CUUR0300SA0,2009,M03,206.001
CUUR0300SA0,2009,M04,206.657
CUUR0300SA0,2009,M05,207.265
CUUR0300SA0,2009,M06,209.343
CUUR0300SA0,2009,M07,208.819
CUUR0300SA0,2009,M08,209.000
CUUR0300SA0,2009,M09,208.912
CUUR0300SA0,2009,M10,209.292
CUUR0300SA0,2009,M11,209.738
CUUR0300SA0,2009,M12,209.476
CUUR0300SA0,2009,M13,207.845
CUUS0300SA0,2009,S01,206.483
CUUS0300SA0,2009,S02,209.206
CUUR0300SA0,2010,M01,210.056
CUUR0300SA0,2010,M02,210.020
CUUR0300SA0,2010,M03,211.216
CUUR0300SA0,2010,M04,211.528
CUUR0300SA0,2010,M05,211.423
CUUR0300SA0,2010,M06,211.232
CUUR0300SA0,2010,M07,210.988
CUUR0300SA0,2010,M08,211.308
CUUR0300SA0,2010,M09,211.775
CUUR0300SA0,2010,M10,212.026
CUUR0300SA0,2010,M11,211.996
CUUR0300SA0,2010,M12,212.488
CUUR0300SA0,2010,M13,211.338
CUUS0300SA0,2010,S01,210.913
CUUS0300SA0,2010,S02,211.764
CUUR0300SA0,2011,M01,213.589
CUUR0300SA0,2011,M02,214.735
CUUR0300SA0,2011,M03,217.214
CUUR0300SA0,2011,M04,218.820
CUUR0300SA0,2011,M05,219.820
CUUR0300SA0,2011,M06,219.318
CUUR0300SA0,2011,M07,219.682
CUUR0300SA0,2011,M08,220.471
CUUR0300SA0,2011,M09,220.371
CUUR0300SA0,2011,M10,219.969
CUUR0300SA0,2011,M11,219.961
CUUR0300SA0,2011,M12,219.469
CUUR0300SA0,2011,M13,218.618
CUUS0300SA0,2011,S01,217.249
CUUS0300SA0,2011,S02,219.987
CUUR0300SA0,2012,M01,220.497
CUUR0300SA0,2012,M02,221.802
CUUR0300SA0,2012,M03,223.314
CUUR0300SA0,2012,M04,224.275
CUUR0300SA0,2012,M05,223.356
CUUR0300SA0,2012,M06,223.004
CUUR0300SA0,2012,M07,222.667
CUUR0300SA0,2012,M08,223.919
CUUR0300SA0,2012,M09,225.052
CUUR0300SA0,2012,M10,224.504
CUUR0300SA0,2012,M11,223.404
CUUR0300SA0,2012,M12,223.109
CUUR0300SA0,2012,M13,223.242
CUUS0300SA0,2012,S01,222.708
CUUS0300SA0,2012,S02,223.776
CUUR0300SA0,2013,M01,223.933
CUUR0300SA0,2013,M02,225.874
CUUR0300SA0,2013,M03,226.628
CUUR0300SA0,2013,M04,226.202
CUUR0300SA0,2013,M05,226.289
CUUR0300SA0,2013,M06,227.148
CUUR0300SA0,2013,M07,227.548
CUUR0300SA0,2013,M08,227.837
CUUR0300SA0,2013,M09,227.876
CUUR0300SA0,2013,M10,227.420
CUUR0300SA0,2013,M11,226.811
CUUR0300SA0,2013,M12,227.082
CUUR0300SA0,2013,M13,226.721
CUUS0300SA0,2013,S01,226.012
CUUS0300SA0,2013,S02,227.429
CUUR0300SA0,2014,M01,227.673
CUUR0300SA0,2014,M02,228.664
CUUR0300SA0,2014,M03,230.095
CUUR0300SA0,2014,M04,231.346
CUUR0300SA0,2014,M05,231.762
CUUR0300SA0,2014,M06,232.269
CUUR0300SA0,2014,M07,232.013
