Series Id,Year,Period,Value
CUUR0400SA0,2003,M01,186.6
CUUR0400SA0,2003,M02,188.1
CUUR0400SA0,2003,M03,189.3
CUUR0400SA0,2003,M04,188.8
CUUR0400SA0,2003,M05,188.5
CUUR0400SA0,2003,M06,188.1
CUUR0400SA0,2003,M07,188.4
CUUR0400SA0,2003,M08,189.2
CUUR0400SA0,2003,M09,189.6
CUUR0400SA0,2003,M10,189.4
CUUR0400SA0,2003,M11,188.5
CUUR0400SA0,2003,M12,188.3
CUUR0400SA0,2003,M13,188.6
CUUS0400SA0,2003,S01,188.2
CUUS0400SA0,2003,S02,188.9
CUUR0400SA0,2004,M01,189.4
CUUR0400SA0,2004,M02,190.8
CUUR0400SA0,2004,M03,192.2
CUUR0400SA0,2004,M04,192.3
CUUR0400SA0,2004,M05,193.4
CUUR0400SA0,2004,M06,193.3
CUUR0400SA0,2004,M07,192.9
CUUR0400SA0,2004,M08,193.0
CUUR0400SA0,2004,M09,193.8
CUUR0400SA0,2004,M10,195.0
CUUR0400SA0,2004,M11,195.1
CUUR0400SA0,2004,M12,194.2
CUUR0400SA0,2004,M13,193.0
CUUS0400SA0,2004,S01,191.9
CUUS0400SA0,2004,S02,194.0
CUUR0400SA0,2005,M01,194.5
CUUR0400SA0,2005,M02,195.7
CUUR0400SA0,2005,M03,197.1
CUUR0400SA0,2005,M04,198.6
CUUR0400SA0,2005,M05,198.8
CUUR0400SA0,2005,M06,198.0
CUUR0400SA0,2005,M07,198.6
CUUR0400SA0,2005,M08,199.6
CUUR0400SA0,2005,M09,201.7
CUUR0400SA0,2005,M10,202.6
CUUR0400SA0,2005,M11,201.4
CUUR0400SA0,2005,M12,200.0
CUUR0400SA0,2005,M13,198.9
CUUS0400SA0,2005,S01,197.1
CUUS0400SA0,2005,S02,200.7
CUUR0400SA0,2006,M01,201.7
CUUR0400SA0,2006,M02,202.7
CUUR0400SA0,2006,M03,203.8
CUUR0400SA0,2006,M04,205.3
CUUR0400SA0,2006,M05,206.9
CUUR0400SA0,2006,M06,206.4
CUUR0400SA0,2006,M07,206.7
CUUR0400SA0,2006,M08,207.5
CUUR0400SA0,2006,M09,207.8
CUUR0400SA0,2006,M10,207.1
CUUR0400SA0,2006,M11,206.3
CUUR0400SA0,2006,M12,206.2
CUUR0400SA0,2006,M13,205.7
CUUS0400SA0,2006,S01,204.5
